Age, Yrs AD;YOK-I d13C (permil VPDB)
1416.05;-8.75
1415.84;-8.84
1415.63;-8.9
1415.42;-8.98
1415.21;-8.84
1415.00;-8.93
1414.79;-9.03
1414.58;-8.8
1414.37;-8.81
1414.16;-8.76
1413.94;-8.86
1413.73;-8.78
1413.51;-8.66
1413.30;-8.71
1413.08;-8.62
1412.86;-8.53
1412.64;-8.62
1412.41;-8.43
1412.19;-8.56
1411.96;-8.53
1411.73;-8.59
1411.49;-8.67
1411.26;-8.78
1411.01;-8.76
1410.77;-9.02
1410.52;-9.18
1410.27;-9.18
1410.02;-9.42
1409.76;-9.27
1409.50;-9.12
1409.23;-8.93
1408.96;-8.94
1408.69;-8.77
1408.40;-8.92
1408.12;-8.83
1407.53;-8.57
1407.23;-8.71
1406.92;-8.63
1406.61;-8.55
1406.29;-8.57
1405.97;-8.48
1405.64;-8.49
1405.30;-8.35
1404.96;-8.08
1404.61;-7.97
1404.26;-7.84
1403.90;-7.74
1403.53;-7.78
1403.17;-7.73
1402.79;-7.71
1402.42;-7.77
1402.03;-7.85
1401.65;-7.98
1401.25;-8.09
1400.86;-8.05
1400.45;-8.16
1400.05;-8.24
1399.64;-8.15
1399.22;-8.39
1398.80;-8.59
1398.37;-8.83
1397.94;-9.28
1397.51;-9.26
1397.07;-9.08
1396.63;-9.07
1396.18;-9.29
1395.73;-9.19
1395.27;-9.07
1394.81;-8.86
1394.34;-8.77
1393.87;-8.84
1393.40;-8.93
1392.92;-9.23
1392.44;-9.47
1391.95;-9.16
1391.46;-9.03
1390.96;-9.08
1390.46;-9.13
1389.96;-9.1
1389.45;-9.1
1388.94;-8.9
1388.43;-8.89
1387.91;-8.7
1387.39;-8.87
1386.86;-8.77
1386.33;-8.81
1385.79;-8.65
1385.26;-8.58
1384.71;-8.5
1384.17;-8.53
1383.62;-8.57
1383.07;-8.38
1382.51;-8.54
1381.95;-8.85
1381.39;-8.75
1380.82;-8.79
1380.25;-8.72
1379.68;-8.58
1379.10;-8.63
1378.52;-8.56
1377.93;-8.57
1377.35;-8.4
1376.76;-8.41
1376.16;-8.22
1375.57;-8.29
1374.97;-8.19
1374.36;-8.08
1373.76;-8.08
1373.15;-7.95
1372.54;-8.07
1371.92;-7.93
1371.30;-7.83
1370.68;-7.81
1370.06;-7.74
1369.43;-7.86
1368.80;-7.94
1368.17;-7.75
1367.53;-7.96
1366.89;-7.93
1366.25;-7.94
1365.61;-7.84
1364.96;-7.82
1364.31;-7.72
1363.66;-8.01
1363.01;-7.84
1362.35;-8
1361.69;-7.81
1361.03;-8.11
1360.36;-7.85
1359.70;-7.68
1359.03;-7.6
1358.36;-7.69
1357.68;-7.49
1357.01;-7.75
1356.33;-7.77
1355.65;-7.74
1354.97;-7.89
1354.28;-7.88
1353.60;-7.9
1352.91;-7.82
1352.22;-7.88
1351.53;-7.76
1350.83;-7.68
1350.13;-7.65
1349.44;-7.62
1348.74;-7.74
1348.03;-7.66
1347.33;-7.67
1346.62;-7.64
1345.92;-7.69
1345.21;-7.81
1344.50;-7.81
1343.78;-7.83
1343.07;-7.94
1341.64;-7.23
1340.92;-8.32
1340.20;-8.48
1339.47;-8.31
1338.75;-8.44
1338.03;-8.67
1337.30;-8.96
1336.57;-9.14
1335.85;-8.97
1335.12;-8.84
1334.38;-9.03
1333.65;-9.48
1332.92;-9.5
1332.18;-9.25
1331.45;-9.18
1330.71;-9.28
1329.97;-9.24
1329.23;-9.22
1328.50;-9.31
1327.75;-9.24
1327.01;-9.5
1326.27;-9.63
1325.53;-9.73
1324.78;-9.85
1324.04;-9.86
1323.29;-9.83
1322.55;-9.93
1321.80;-9.86
1321.05;-9.96
1320.30;-9.96
1319.55;-10.08
